MarketplaceId,MarketplaceName,TehsilId,TehsilName,MarketplaceStatus
48587,Lakhanpur,4286,Lakhanpur,Approved
48588,Orient,4287,Orient,Approved
48589,Rengali,4288,Rengali,Approved
48590,Biswanathpur,4289,Biswanathpur,Approved
48591,Dharamgarh,4290,Dharamgarh,Approved
48592,Golamunda,4291,Golamunda,Approved
48593,Jayapatna,4292,Jayapatna,Approved
48594,Junagarh,4293,Junagarh,Approved
48595,Kegaon,4294,Kegaon,Approved
48596,Kesinga,4295,Kesinga,Approved
48597,Kokasara,4296,Kokasara,Approved
48598,Lanjigarh,4297,Lanjigarh,Approved
48599,Madanpur Rampur,4298,Madanpur Rampur,Approved
48600,Narala,4299,Narala,Approved
48601,Sadar,4300,Sadar,Approved
48602,Thuamul Rampur,4301,Thuamul Rampur,Approved
48603,Baliguda,4302,Baliguda,Approved
48604,Belaghar,4303,Belaghar,Approved
48605,Brahmanigaon,4304,Brahmanigaon,Approved
48606,Chakapada,4305,Chakapada,Approved
48607,Daringbadi,4306,Daringbadi,Approved
48608,Gochhapada,4307,Gochhapada,Approved
48609,G.Udayagiri,4308,G.Udayagiri,Approved
48610,Khajuripada,4309,Khajuripada,Approved
48611,Kotagarh,4310,Kotagarh,Approved
48612,Nuagaon,4311,Nuagaon,Approved
48613,Phiringia,4312,Phiringia,Approved
48614,Phulabani,4313,Phulabani,Approved
48615,Phulabani Town,4314,Phulabani Town,Approved
48616,Raikia,4315,Raikia,Approved
48617,Sarangagarh,4316,Sarangagarh,Approved
48618,Tikabali,4317,Tikabali,Approved
48619,Tumudibandha,4318,Tumudibandha,Approved
48620,Aali,4319,Aali,Approved
48621,Derabish,4320,Derabish,Approved
48622,Jamboo Marine,4321,Jamboo Marine,Approved
48623,Kendrapara,4322,Kendrapara,Approved
48624,Kendrapara Sadar,4323,Kendrapara Sadar,Approved
48625,Mahakalapada,4324,Mahakalapada,Approved
48626,Marsaghai,4325,Marsaghai,Approved
48627,Nikirai,4326,Nikirai,Approved
48628,Patkura,4327,Patkura,Approved
48629,Pattamundai,4328,Pattamundai,Approved
48630,Rajkanika,4329,Rajkanika,Approved
48631,Rajnagar,4330,Rajnagar,Approved
48632,Anandapur,4331,Anandapur,Approved
48633,Bamebari,4332,Bamebari,Approved
48634,Barbil,4333,Barbil,Approved
48635,Baria,4334,Baria,Approved
48636,Bolani,4335,Bolani,Approved
48637,Champua,4336,Champua,Approved
48638,Daitari,4337,Daitari,Approved
48639,Ghasipura,4338,Ghasipura,Approved
48640,Ghatgaon,4339,Ghatgaon,Approved
48641,Harichandanpur,4340,Harichandanpur,Approved
48642,Jhumpura,4341,Jhumpura,Approved
48643,Joda,4342,Joda,Approved
48644,Kanjipani,4343,Kanjipani,Approved
48645,Kendujhar Sadar,4344,Kendujhar Sadar,Approved
48646,Kendujhar Town,4345,Kendujhar Town,Approved
48647,Nandipada,4346,Nandipada,Approved
48648,Nayakote,4347,Nayakote,Approved
48649,Pandapara,4348,Pandapara,Approved
48650,Patana,4349,Patana,Approved
48651,Rugudi,4350,Rugudi,Approved
48652,Sainkul,4351,Sainkul,Approved
48653,Soso,4352,Soso,Approved
48654,Telkoi,4353,Telkoi,Approved
48655,Turumunga,4354,Turumunga,Approved
48656,Airfield (Kapila Prasad),4355,Airfield (Kapila Prasad),Approved
48657,Balianta,4356,Balianta,Approved
48658,Balipatna,4357,Balipatna,Approved
48659,Balugaon,4358,Balugaon,Approved
48660,Banapur,4359,Banapur,Approved
48661,Begunia,4360,Begunia,Approved
48662,Bhubaneswar (M.Corp.),4361,Bhubaneswar (M.Corp.),Approved
48663,Bolagad,4362,Bolagad,Approved
48664,Chandaka,4363,Chandaka,Approved
48665,Jankia,4364,Jankia,Approved
48666,Jatani,4365,Jatani,Approved
48667,Khandagiri,4366,Khandagiri,Approved
48668,Khordha,4367,Khordha,Approved
48669,Khordha Sadar,4368,Khordha Sadar,Approved
48670,Lingaraj,4369,Lingaraj,Approved
48671,Mancheswar,4370,Mancheswar,Approved
48672,Nandankanan,4371,Nandankanan,Approved
48673,Nirakarpur,4372,Nirakarpur,Approved
48674,Saheednagar,4373,Saheednagar,Approved
48675,Tamando,4374,Tamando,Approved
48676,Tangi,4375,Tangi,Approved
48677,Uttara P.S,4376,Uttara P.S,Approved
48678,Bandhugaon,4377,Bandhugaon,Approved
48679,Bhairabsingipur,4378,Bhairabsingipur,Approved
48680,Boipariguda,4379,Boipariguda,Approved
48681,Boriguma,4380,Boriguma,Approved
48682,Damonjodi,4381,Damonjodi,Approved
48683,Dasamantapur,4382,Dasamantapur,Approved
48684,Jeypore,4383,Jeypore,Approved
48685,Kakiriguma,4384,Kakiriguma,Approved
48686,Koraput,4385,Koraput,Approved
48687,Koraput Town,4386,Koraput Town,Approved
48688,Kotiya,4387,Kotiya,Approved
48689,Kotpad,4388,Kotpad,Approved
48690,Kundura,4389,Kundura,Approved
48691,Lakshmipur,4390,Lakshmipur,Approved
48692,Machh Kund,4391,Machh Kund,Approved
48693,Nandapur,4392,Nandapur,Approved
48694,Narayanpatana,4393,Narayanpatana,Approved
48695,Padua,4394,Padua,Approved
48696,Pottangi,4395,Pottangi,Approved
48697,Similiguda,4396,Similiguda,Approved
48698,Sunabeda,4397,Sunabeda,Approved
48699,Chitrakonda,4398,Chitrakonda,Approved
48700,Jodamba,4399,Jodamba,Approved
48701,Kalimela,4400,Kalimela,Approved
48702,Malkangiri,4401,Malkangiri,Approved
48703,Mathili,4402,Mathili,Approved
48704,Motu,4403,Motu,Approved
48705,Mudulipada,4404,Mudulipada,Approved
48706,M.V. 79,4405,M.V. 79,Approved
48707,Orkel,4406,Orkel,Approved
