MarketplaceId,MarketplaceName,TehsilId,TehsilName,MarketplaceStatus
46763,Vadodara South,2462,Vadodara South,Approved
46764,Vadodara West,2463,Vadodara West,Approved
46765,Vaghodia,2464,Vaghodia,Approved
61575,bazar samiti vaghodia,2464,Vaghodia,Approved
46766,Dharampur,2465,Dharampur,Approved
46767,Kaprada,2466,Kaprada,Approved
46768,Pardi,2467,Pardi,Approved
46769,Umbergaon,2468,Umbergaon,Approved
46770,Valsad,2469,Valsad,Approved
46771,Vapi,2470,Vapi,Approved
46772,Ambala,2471,Ambala,Approved
46773,Ambala Cantonment,2472,Ambala Cantonment,Approved
46774,Barara,2473,Barara,Approved
46775,Mulana St,2474,Mulana St,Approved
46776,Naraingarh,2475,Naraingarh,Approved
46777,Saha St,2476,Saha St,Approved
46778,Shahzadpur St,2477,Shahzadpur St,Approved
46779,Bahal St,2478,Bahal St,Approved
46780,Bawani Khera,2479,Bawani Khera,Approved
46781,Bhiwani,2480,Bhiwani,Approved
46782,Loharu,2481,Loharu,Approved
46783,Siwani,2482,Siwani,Approved
46784,Tosham,2483,Tosham,Approved
46785,Badhra,2484,Badhra,Approved
46786,Bondkalan St,2485,Bondkalan St,Approved
46787,Dadri,2486,Dadri,Approved
46788,Badkhal,2487,Badkhal,Approved
46789,Ballabgarh,2488,Ballabgarh,Approved
46790,Dayalpur St,2489,Dayalpur St,Approved
46791,Dhauj St,2490,Dhauj St,Approved
46792,Faridabad,2491,Faridabad,Approved
46793,Gaunchi St,2492,Gaunchi St,Approved
46794,Mohna St,2493,Mohna St,Approved
46795,Tigaon St,2494,Tigaon St,Approved
46796,Bhattukalan St,2495,Bhattukalan St,Approved
46797,Bhuna St,2496,Bhuna St,Approved
46798,Fatehabad,2497,Fatehabad,Approved
46799,Jakhal St,2498,Jakhal St,Approved
46800,Kulan St,2499,Kulan St,Approved
46801,Ratia,2500,Ratia,Approved
46802,Tohana,2501,Tohana,Approved
46803,Badshahpur St,2502,Badshahpur St,Approved
46804,Farrukhnagar,2503,Farrukhnagar,Approved
46805,Gurgaon,2504,Gurgaon,Approved
46806,Harsaru St,2505,Harsaru St,Approved
46807,Kadipur St,2506,Kadipur St,Approved
46808,Manesar,2507,Manesar,Approved
46809,Pataudi,2508,Pataudi,Approved
46810,Sohna,2509,Sohna,Approved
46811,Wazirabad St,2510,Wazirabad St,Approved
46812,Adampur,2511,Adampur,Approved
46813,Balsamand St,2512,Balsamand St,Approved
46814,Barwala,2513,Barwala,Approved
46815,Bass,2514,Bass,Approved
46816,Hansi,2515,Hansi,Approved
46817,Hisar,2516,Hisar,Approved
46818,Kheri Jalab St,2517,Kheri Jalab St,Approved
46819,Narnaund,2518,Narnaund,Approved
46820,Uklana St,2519,Uklana St,Approved
46821,Badli,2520,Badli,Approved
46822,Bahadurgarh,2521,Bahadurgarh,Approved
46823,Beri,2522,Beri,Approved
46824,Jhajjar,2523,Jhajjar,Approved
46825,Matenhail,2524,Matenhail,Approved
46826,Salhawas St,2525,Salhawas St,Approved
46827,Alewa,2526,Alewa,Approved
46828,Jind,2527,Jind,Approved
46829,Julana,2528,Julana,Approved
46830,Narwana,2529,Narwana,Approved
46831,Pillukhera St,2530,Pillukhera St,Approved
46832,Safidon,2531,Safidon,Approved
46833,Uchana,2532,Uchana,Approved
46834,Dhand St,2533,Dhand St,Approved
46835,Fatehpur Pundri,2534,Fatehpur Pundri,Approved
61937,Pundri ,2534,Fatehpur Pundri,Unapproved
46836,Guhla,2535,Guhla,Approved
46837,Kaithal,2536,Kaithal,Approved
46838,Kalayat,2537,Kalayat,Approved
46839,Rajaund St,2538,Rajaund St,Approved
46840,Siwan St,2539,Siwan St,Approved
46841,Assandh,2540,Assandh,Approved
46842,Ballah St,2541,Ballah St,Approved
46843,Gharaunda,2542,Gharaunda,Approved
46844,Indri,2543,Indri,Approved
46845,Karnal,2544,Karnal,Approved
46846,Nigdu St,2545,Nigdu St,Approved
46847,Nilokheri,2546,Nilokheri,Approved
46848,Nising St,2547,Nising St,Approved
46849,Babain St,2548,Babain St,Approved
46850,Ismailabad St,2549,Ismailabad St,Approved
46851,Ladwa,2550,Ladwa,Approved
46852,Pehowa,2551,Pehowa,Approved
46853,Shahbad,2552,Shahbad,Approved
46854,Thanesar,2553,Thanesar,Approved
46855,Ateli,2554,Ateli,Approved
46856,Kanina,2555,Kanina,Approved
46857,Mahendragarh,2556,Mahendragarh,Approved
46858,Nangal Chawdhary,2557,Nangal Chawdhary,Approved
46859,Narnaul,2558,Narnaul,Approved
46860,Satnali St,2559,Satnali St,Approved
46861,Ferozepur Jhirka,2560,Ferozepur Jhirka,Approved
46862,Indri,2561,Indri,Approved
46863,Nagina St,2562,Nagina St,Approved
51446,battery ,2562,Nagina St,Unapproved
51447,Gurugram,2562,Nagina St,Approved
46864,Nuh,2563,Nuh,Approved
46865,Punahana,2564,Punahana,Approved
46866,Taoru,2565,Taoru,Approved
46867,Bahin St,2566,Bahin St,Approved
46868,Hassanpur St,2567,Hassanpur St,Approved
46869,Hathin,2568,Hathin,Approved
46870,Hodal,2569,Hodal,Approved
46871,Palwal,2570,Palwal,Approved
46872,Barwala St,2571,Barwala St,Approved
46873,Kalka,2572,Kalka,Approved
46874,Morni St,2573,Morni St,Approved
46875,Panchkula,2574,Panchkula,Approved
46876,Raipur Rani,2575,Raipur Rani,Approved
46877,Bapoli,2576,Bapoli,Approved
46878,Israna,2577,Israna,Approved
46879,Matlauda,2578,Matlauda,Approved
46880,Panipat,2579,Panipat,Approved
46881,Samalkha,2580,Samalkha,Approved
46882,Bawal,2581,Bawal,Approved
46883,Dahina St,2582,Dahina St,Approved
51527,rewari ,2582,Dahina St,Unapproved
46884,Dharuhera St,2583,Dharuhera St,Approved
46885,Kosli,2584,Kosli,Approved
61653,REWARI,2584,Kosli,Unapproved
46886,Manethi St,2585,Manethi St,Approved
46887,Nahar St,2586,Nahar St,Approved
46888,Palhawas St,2587,Palhawas St,Approved
46889,Rewari,2588,Rewari,Approved
46890,Kalanaur,2589,Kalanaur,Approved
46891,Lakhan Majra St,2590,Lakhan Majra St,Approved
46892,Maham,2591,Maham,Approved
46893,Rohtak,2592,Rohtak,Approved
46894,Sampla,2593,Sampla,Approved
46895,Dabwali,2594,Dabwali,Approved
46896,Ellenabad,2595,Ellenabad,Approved
46897,Goriwala St,2596,Goriwala St,Approved
46898,Kalanwali,2597,Kalanwali,Approved
46899,Nathusari Chopta,2598,Nathusari Chopta,Approved
46900,Rania,2599,Rania,Approved
46901,Sirsa,2600,Sirsa,Approved
46902,Ganaur,2601,Ganaur,Approved
46903,Gohana,2602,Gohana,Approved
46904,Khanpur St,2603,Khanpur St,Approved
46905,Kharkhoda,2604,Kharkhoda,Approved
46906,Rai St,2605,Rai St,Approved
46907,Sonipat,2606,Sonipat,Approved
46908,Bilaspur,2607,Bilaspur,Approved
46909,Chhachhrauli,2608,Chhachhrauli,Approved
46910,Jagadhri,2609,Jagadhri,Approved
46911,Pratap Nagar St,2610,Pratap Nagar St,Approved
46912,Radaur,2611,Radaur,Approved
46913,Sadhaura St,2612,Sadhaura St,Approved
46914,Saraswati Nagar St,2613,Saraswati Nagar St,Approved
46915,Bharari,2614,Bharari,Approved
46916,Bilaspur Sadar,2615,Bilaspur Sadar,Approved
46917,Ghumarwin,2616,Ghumarwin,Approved
51553,kuthera,2616,Ghumarwin,Approved
46918,Harlog,2617,Harlog,Approved
46919,Jhanduta,2618,Jhanduta,Approved
46920,Kalol,2619,Kalol,Approved
46921,Naina Devi,2620,Naina Devi,Approved
46922,Namhol,2621,Namhol,Approved
46923,Talai,2622,Talai,Approved
46924,Bhalai,2623,Bhalai,Approved
46925,Bharmour,2624,Bharmour,Approved
46926,Bhattiyat,2625,Bhattiyat,Approved
46927,Chamba,2626,Chamba,Approved
46928,Churah,2627,Churah,Approved
46929,Dalhousie,2628,Dalhousie,Approved
46930,Dharwala,2629,Dharwala,Approved
46931,Holi,2630,Holi,Approved
46932,Kakira,2631,Kakira,Approved
46933,Pangi,2632,Pangi,Approved
46934,Pukhri,2633,Pukhri,Approved
46935,Saluni,2634,Saluni,Approved
46936,Sihunta,2635,Sihunta,Approved
46937,Telka,2636,Telka,Approved
46938,Barsar,2637,Barsar,Approved
46939,Bhoranj,2638,Bhoranj,Approved
46940,Bhota,2639,Bhota,Approved
46941,Dhatwal,2640,Dhatwal,Approved
46942,Galore,2641,Galore,Approved
46943,Hamirpur,2642,Hamirpur,Approved
46944,Kangoo,2643,Kangoo,Approved
46945,Lambloo,2644,Lambloo,Approved
46946,Nadaun,2645,Nadaun,Approved
46947,Tauni Devi Bamson,2646,Tauni Devi Bamson,Approved
46948,Tira Sujanpur,2647,Tira Sujanpur,Approved
46949,Alampur,2648,Alampur,Approved
46950,Baijnath,2649,Baijnath,Approved
46951,Baroh,2650,Baroh,Approved
46952,Bhawarna,2651,Bhawarna,Approved
46953,Chachian,2652,Chachian,Approved
46954,Chadiyar,2653,Chadiyar,Approved
46955,Dadasiba,2654,Dadasiba,Approved
46956,Dareeni,2655,Dareeni,Approved
46957,Dera Gopipur,2656,Dera Gopipur,Approved
46958,Dharmsala,2657,Dharmsala,Approved
46959,Dhira,2658,Dhira,Approved
46960,Fatehpur,2659,Fatehpur,Approved
46961,Gangath,2660,Gangath,Approved
46962,Harchakian,2661,Harchakian,Approved
46963,Haripur,2662,Haripur,Approved
46964,Indora,2663,Indora,Approved
46965,Jaisinghpur,2664,Jaisinghpur,Approved
46966,Jaswan,2665,Jaswan,Approved
46967,Jawalamukhi,2666,Jawalamukhi,Approved
46968,Jawali,2667,Jawali,Approved
46969,Kangra,2668,Kangra,Approved
46970,Khundian,2669,Khundian,Approved
46971,Kotla,2670,Kotla,Approved
46972,Lagru,2671,Lagru,Approved
46973,Majheen,2672,Majheen,Approved
46974,Multhan,2673,Multhan,Approved
46975,Nagrota Bagwan,2674,Nagrota Bagwan,Approved
46976,Nagrota Surian,2675,Nagrota Surian,Approved
46977,Nurpur,2676,Nurpur,Approved
46978,Palampur,2677,Palampur,Approved
46979,Panchrukhi,2678,Panchrukhi,Approved
46980,Pragpur,2679,Pragpur,Approved
46981,Raja Ka Talab,2680,Raja Ka Talab,Approved
46982,Rakkar,2681,Rakkar,Approved
46983,Rey,2682,Rey,Approved
46984,Sadwan,2683,Sadwan,Approved
46985,Shahpur,2684,Shahpur,Approved
46986,Sulah,2685,Sulah,Approved
46987,Thakurdwara,2686,Thakurdwara,Approved
46988,Thural,2687,Thural,Approved
46989,Hangrang,2688,Hangrang,Approved
46990,Kalpa,2689,Kalpa,Approved
46991,Morang,2690,Morang,Approved
46992,Nichar,2691,Nichar,Approved
46993,Poo,2692,Poo,Approved
46994,Sangla,2693,Sangla,Approved
46995,Tapri,2694,Tapri,Approved
46996,Ani,2695,Ani,Approved
46997,Banjar,2696,Banjar,Approved
46998,Bhuntar,2697,Bhuntar,Approved
46999,Jari,2698,Jari,Approved
47000,Kullu,2699,Kullu,Approved
47001,Manali,2700,Manali,Approved
47002,Nirmand,2701,Nirmand,Approved
47003,Nither,2702,Nither,Approved
47004,Sainj,2703,Sainj,Approved
47005,Lahul,2704,Lahul,Approved
47006,Spiti,2705,Spiti,Approved
47007,Udaipur,2706,Udaipur,Approved
47008,Aut,2707,Aut,Approved
47009,Bagachnogi,2708,Bagachnogi,Approved
47010,Bagshad,2709,Bagshad,Approved
47011,Baldwara,2710,Baldwara,Approved
47012,Balh,2711,Balh,Approved
47013,Bali Chowki,2712,Bali Chowki,Approved
47014,Bhadrota,2713,Bhadrota,Approved
47015,Chachyot,2714,Chachyot,Approved
47016,Chhatri,2715,Chhatri,Approved
47017,Dehar,2716,Dehar,Approved
47018,Dhalwan,2717,Dhalwan,Approved
47019,Dharmpur,2718,Dharmpur,Approved
47020,Jogindarnagar,2719,Jogindarnagar,Approved
47021,Karsog,2720,Karsog,Approved
47022,Katoula,2721,Katoula,Approved
47023,Kotli,2722,Kotli,Approved
47024,Lad Bharol,2723,Lad Bharol,Approved
47025,Makridi,2724,Makridi,Approved
47026,Mandap,2725,Mandap,Approved
47027,Mandi,2726,Mandi,Approved
47028,Nihri,2727,Nihri,Approved
47029,Padhar,2728,Padhar,Approved
47030,Pangna,2729,Pangna,Approved
47031,Rewalsar,2730,Rewalsar,Approved
47032,Sandhol,2731,Sandhol,Approved
47033,Sarkaghat,2732,Sarkaghat,Approved
47034,Sundarnagar,2733,Sundarnagar,Approved
47035,Thachi,2734,Thachi,Approved
47036,Thunag,2735,Thunag,Approved
47037,Tihra,2736,Tihra,Approved
47038,Tikken,2737,Tikken,Approved
47039,Chaupal,2738,Chaupal,Approved
47040,Chirgaon,2739,Chirgaon,Approved
47041,Deha,2740,Deha,Approved
47042,Dhami,2741,Dhami,Approved
47043,Dodra Kwar,2742,Dodra Kwar,Approved
47044,Jalog,2743,Jalog,Approved
47045,Jangla,2744,Jangla,Approved
47046,Jubbal,2745,Jubbal,Approved
47047,Junga,2746,Junga,Approved
47048,Kalbog,2747,Kalbog,Approved
47049,Kotgarh,2748,Kotgarh,Approved
47050,Kotkhai,2749,Kotkhai,Approved
61649,gumma,2749,Kotkhai,Unapproved
47051,Kumarsain,2750,Kumarsain,Approved
47052,Kupvi,2751,Kupvi,Approved
47053,Nankhari,2752,Nankhari,Approved
47054,Nerwa,2753,Nerwa,Approved
47055,Rampur,2754,Rampur,Approved
47056,Rohru,2755,Rohru,Approved
47057,Sarahan,2756,Sarahan,Approved
47058,Sarawati Nagar,2757,Sarawati Nagar,Approved
