MarketplaceId,MarketplaceName,TehsilId,TehsilName,MarketplaceStatus
33877,Ghera Sumargad,276,Khed,Approved
33878,Gherapalgad,276,Khed,Approved
33879,Ghogare,276,Khed,Approved
33880,Gunade,276,Khed,Approved
33881,Hedali,276,Khed,Approved
33882,Hodkhad,276,Khed,Approved
33883,Hodkhad Kh.,276,Khed,Approved
33884,Humbari,276,Khed,Approved
33885,Jaitapur,276,Khed,Approved
33886,Jamage,276,Khed,Approved
33887,Jambhulgaon,276,Khed,Approved
33888,Jambhurde,276,Khed,Approved
33889,Javli Gaonthan,276,Khed,Approved
33890,Kadavali,276,Khed,Approved
33891,Kajvewadi,276,Khed,Approved
33892,Kalambani Bk.,276,Khed,Approved
33893,Kalambani Kh.,276,Khed,Approved
33894,Kandoshi,276,Khed,Approved
33895,Karjee,276,Khed,Approved
33896,Karjee Amshet,276,Khed,Approved
33897,Karjee Bk.,276,Khed,Approved
33898,Kartel,276,Khed,Approved
33899,Kasaba Natu,276,Khed,Approved
33900,Kasai,276,Khed,Approved
33901,Kashedi,276,Khed,Approved
33902,Kavale,276,Khed,Approved
33903,Kelane,276,Khed,Approved
33904,Khalachi Humbari,276,Khed,Approved
33905,Khari,276,Khed,Approved
33906,Khavati,276,Khed,Approved
33907,Khed,276,Khed,Approved
33908,Khed (Bhadgaon),276,Khed,Approved
33909,Khopi,276,Khed,Approved
33910,Khopi Tambadwadi,276,Khed,Approved
33911,Kinjale Tarf Khed,276,Khed,Approved
33912,Kinjale Tarf Natu,276,Khed,Approved
33913,Kondivali,276,Khed,Approved
33914,Kondivali Kh.,276,Khed,Approved
33915,Kondwadi,276,Khed,Approved
33916,Koregaon,276,Khed,Approved
33917,Koregaon Kh.,276,Khed,Approved
33918,Kotwali,276,Khed,Approved
33919,Kudoshi,276,Khed,Approved
33920,Kulvandi,276,Khed,Approved
33921,Kumbhad,276,Khed,Approved
33922,Kumbhavali,276,Khed,Approved
33923,Kuraval Gaothan,276,Khed,Approved
33924,Kuraval Javali,276,Khed,Approved
33925,Kuraval Khed,276,Khed,Approved
33926,Lavel,276,Khed,Approved
33927,Lote,276,Khed,Approved
33928,Mahalunge,276,Khed,Approved
33929,Mandave,276,Khed,Approved
33930,Mani,276,Khed,Approved
33931,Mete,276,Khed,Approved
33932,Mirle,276,Khed,Approved
33933,Mohane,276,Khed,Approved
33934,Morvande,276,Khed,Approved
33935,Morvande Kh.,276,Khed,Approved
33936,Mulgaon,276,Khed,Approved
33937,Mumbake,276,Khed,Approved
33938,Murde,276,Khed,Approved
33939,Musad,276,Khed,Approved
33940,Nandgaon,276,Khed,Approved
33941,Nandgaon Mohalla,276,Khed,Approved
33942,Nandivali,276,Khed,Approved
33943,Nawanagar,276,Khed,Approved
33944,Nigade,276,Khed,Approved
33945,Nilavane,276,Khed,Approved
33946,Nilik,276,Khed,Approved
33947,Nive,276,Khed,Approved
33948,Pakharwadi,276,Khed,Approved
33949,Panhalaje,276,Khed,Approved
33950,Panhalaje Kh.,276,Khed,Approved
33951,Posare Bk.,276,Khed,Approved
33952,Posare Kh.,276,Khed,Approved
33953,Poyanar,276,Khed,Approved
33954,Poyanar Kh.,276,Khed,Approved
33955,Prabhuwadi,276,Khed,Approved
33956,Pure Bk.,276,Khed,Approved
33957,Pure Kh.,276,Khed,Approved
33958,Rajvel,276,Khed,Approved
33959,Sakhar,276,Khed,Approved
33960,Sakharoli,276,Khed,Approved
33961,Sakharoli Kh.,276,Khed,Approved
33962,Sanaghar,276,Khed,Approved
33963,Sanglat,276,Khed,Approved
33964,Sanglat Boudhwadi,276,Khed,Approved
33965,Sanglat Marathwadi,276,Khed,Approved
33966,Sanglot Mohalla,276,Khed,Approved
33967,Sapirli,276,Khed,Approved
33968,Satvingaon,276,Khed,Approved
33969,Savanas,276,Khed,Approved
33970,Savanas Kh.,276,Khed,Approved
33971,Saveni,276,Khed,Approved
33972,Sheldi,276,Khed,Approved
33973,Sheraval,276,Khed,Approved
33974,Sheraval Kh.,276,Khed,Approved
33975,Shingri,276,Khed,Approved
33976,Shiravali,276,Khed,Approved
33977,Shirgaon,276,Khed,Approved
33978,Shirgaon Kh.,276,Khed,Approved
33979,Shirshi,276,Khed,Approved
33980,Shiv Bk.,276,Khed,Approved
33981,Shiv Kh.,276,Khed,Approved
33982,Shiv Mohalla,276,Khed,Approved
33983,Shivtar,276,Khed,Approved
33984,Sondye,276,Khed,Approved
33985,Songaon,276,Khed,Approved
33986,Sukdar,276,Khed,Approved
33987,Sukivali,276,Khed,Approved
33988,Suseri,276,Khed,Approved
33989,Talaghar,276,Khed,Approved
33990,Tale,276,Khed,Approved
33991,Talvat Javali,276,Khed,Approved
33992,Talvat Khed,276,Khed,Approved
33993,Talvat Pal,276,Khed,Approved
33994,Tisangi,276,Khed,Approved
33995,Tise,276,Khed,Approved
33996,Tise Kh.,276,Khed,Approved
33997,Tulashi Bk.,276,Khed,Approved
33998,Tulashi Kh.,276,Khed,Approved
33999,Tumbad,276,Khed,Approved
34000,Udhale Bk.,276,Khed,Approved
34001,Udhale Kh.,276,Khed,Approved
34002,Valanjawadi,276,Khed,Approved
34003,Varavali,276,Khed,Approved
34004,Veral,276,Khed,Approved
34005,Vetalwadi,276,Khed,Approved
34006,Vihali,276,Khed,Approved
34007,Virachiwadi,276,Khed,Approved
34008,Wadgaon Bk.,276,Khed,Approved
34009,Wadgaon Kh.,276,Khed,Approved
34010,Wadi Beldar,276,Khed,Approved
34011,Wadi Bid,276,Khed,Approved
34012,Wadi Jaitapur,276,Khed,Approved
34013,Wadi Malde,276,Khed,Approved
34014,Wave Tarf Khed,276,Khed,Approved
34015,Wave Tarf Natu,276,Khed,Approved
34016,Zagdewadi,276,Khed,Approved
34017,Adavali,277,Lanja,Approved
34018,Agargaon,277,Lanja,Approved
34019,Agargaon (Lanja),277,Lanja,Approved
34020,Agave,277,Lanja,Approved
34021,Anandgaon,277,Lanja,Approved
34022,Anjanari,277,Lanja,Approved
34023,Argaon,277,Lanja,Approved
34024,Asage,277,Lanja,Approved
34025,Asode,277,Lanja,Approved
34026,Baing,277,Lanja,Approved
34027,Bankhor,277,Lanja,Approved
34028,Bapere,277,Lanja,Approved
34029,Beni Bk.,277,Lanja,Approved
34030,Beni Kh.,277,Lanja,Approved
34031,Bhade,277,Lanja,Approved
34032,Bhambed,277,Lanja,Approved
34033,Borivale,277,Lanja,Approved
34034,Borthade,277,Lanja,Approved
34035,Buddhawadi Tarf Devdhe,277,Lanja,Approved
34036,Budhawadi Tarf Salpe,277,Lanja,Approved
34037,Budhawadi Tarfe Vervali Bk.,277,Lanja,Approved
34038,Chafet,277,Lanja,Approved
34039,Chinchurti,277,Lanja,Approved
34040,Daphalewadi,277,Lanja,Approved
34041,Devdhe,277,Lanja,Approved
34042,Dhundare,277,Lanja,Approved
34043,Dolasgaon,277,Lanja,Approved
34044,Gangarkarwadigaon,277,Lanja,Approved
34045,Gautamgaon,277,Lanja,Approved
34046,Gavane,277,Lanja,Approved
34047,Ghadashigaon,277,Lanja,Approved
34048,Golavashi,277,Lanja,Approved
34049,Gondesakhal,277,Lanja,Approved
34050,Govil,277,Lanja,Approved
34051,Guravwadi,277,Lanja,Approved
34052,Harche,277,Lanja,Approved
34053,Hardkhale,277,Lanja,Approved
34054,Hasol,277,Lanja,Approved
34055,Indavati,277,Lanja,Approved
34056,Isavali,277,Lanja,Approved
34057,Javade,277,Lanja,Approved
34058,Joshigaon,277,Lanja,Approved
34059,Kadugaon,277,Lanja,Approved
34060,Kangavali,277,Lanja,Approved
34061,Kante,277,Lanja,Approved
34062,Katalgaon,277,Lanja,Approved
34063,Kelambe,277,Lanja,Approved
34064,Kelvali,277,Lanja,Approved
34065,Khanavali,277,Lanja,Approved
34066,Khavadi,277,Lanja,Approved
34067,Kheravse,277,Lanja,Approved
34068,Khorgaon,277,Lanja,Approved
34069,Khorninko,277,Lanja,Approved
34070,Kochari,277,Lanja,Approved
34071,Koldhe,277,Lanja,Approved
34072,Kolhewadi,277,Lanja,Approved
34073,Kondage,277,Lanja,Approved
34074,Kondgaon,277,Lanja,Approved
34075,Kondye,277,Lanja,Approved
34076,Korle,277,Lanja,Approved
34077,Kot,277,Lanja,Approved
34078,Kudewadi,277,Lanja,Approved
34079,Kumbhargaon,277,Lanja,Approved
34080,Kunane,277,Lanja,Approved
34081,Kurang,277,Lanja,Approved
34082,Kurchumb,277,Lanja,Approved
34083,Kurne,277,Lanja,Approved
34084,Kuve,277,Lanja,Approved
34085,Lanja,277,Lanja,Approved
34086,Lavgan,277,Lanja,Approved
34087,Machal,277,Lanja,Approved
34088,Majal,277,Lanja,Approved
34089,Manche,277,Lanja,Approved
34090,Math,277,Lanja,Approved
34091,Mogargaon,277,Lanja,Approved
34092,Musalmanwadi,277,Lanja,Approved
34093,Muslimgaon,277,Lanja,Approved
34094,Name,277,Lanja,Approved
34095,Nandivali,277,Lanja,Approved
34096,Nioshi,277,Lanja,Approved
34097,Nivasar,277,Lanja,Approved
34098,Padvan,277,Lanja,Approved
34099,Padyar,277,Lanja,Approved
34100,Palu,277,Lanja,Approved
34101,Panhale,277,Lanja,Approved
34102,Panore,277,Lanja,Approved
34103,Panore Tarf Harche,277,Lanja,Approved
34104,Pateregaon,277,Lanja,Approved
34105,Patilgaon,277,Lanja,Approved
34106,Prabhanvalli,277,Lanja,Approved
34107,Punas,277,Lanja,Approved
34108,Puragaon,277,Lanja,Approved
34109,Ramane,277,Lanja,Approved
34110,Rambadegaon,277,Lanja,Approved
34111,Ramgaon,277,Lanja,Approved
34112,Ravari,277,Lanja,Approved
34113,Ringane,277,Lanja,Approved
34114,Roon,277,Lanja,Approved
34115,Sadvali,277,Lanja,Approved
34116,Salpe,277,Lanja,Approved
34117,Satavali,277,Lanja,Approved
34118,Shiposhi,277,Lanja,Approved
34119,Shirambavali,277,Lanja,Approved
34120,Shiravali,277,Lanja,Approved
34121,Talavade,277,Lanja,Approved
34122,Upale,277,Lanja,Approved
34123,Vangule,277,Lanja,Approved
34124,Varachi Shiravali,277,Lanja,Approved
34125,Veral,277,Lanja,Approved
34126,Veravli Bk.,277,Lanja,Approved
34127,Vervali Kh.,277,Lanja,Approved
34128,Vesurle,277,Lanja,Approved
34129,Vilavade,277,Lanja,Approved
34130,Virgaon,277,Lanja,Approved
34131,Vivali,277,Lanja,Approved
34132,Wadgaon,277,Lanja,Approved
34133,Wadilimbu,277,Lanja,Approved
