MarketplaceId,MarketplaceName,TehsilId,TehsilName,MarketplaceStatus
49547,Ponnamaravathi,5246,Ponnamaravathi,Approved
49548,Pudukkottai,5247,Pudukkottai,Approved
49549,Thirumayam,5248,Thirumayam,Approved
49550,Viralimalai,5249,Viralimalai,Approved
49551,Kadaladi,5250,Kadaladi,Approved
49552,Kamuthi,5251,Kamuthi,Approved
49553,Kilakarai,5252,Kilakarai,Approved
49554,Mudukulathur,5253,Mudukulathur,Approved
49555,Paramakudi,5254,Paramakudi,Approved
49556,Rajasingamangalam,5255,Rajasingamangalam,Approved
49557,Ramanathapuram,5256,Ramanathapuram,Approved
49558,Rameswaram,5257,Rameswaram,Approved
49559,Tiruvadanai,5258,Tiruvadanai,Approved
49560,Arakonam,5259,Arakonam,Approved
49561,Arcot,5260,Arcot,Approved
49562,Kalavai,5261,Kalavai,Approved
49563,Nemili,5262,Nemili,Approved
49564,Sholinghur,5263,Sholinghur,Approved
49565,Wallajah,5264,Wallajah,Approved
49566,Attur,5265,Attur,Approved
49567,Edappadi,5266,Edappadi,Approved
49568,Gangavalli,5267,Gangavalli,Approved
49569,Kadayampatti,5268,Kadayampatti,Approved
49570,Mettur,5269,Mettur,Approved
49571,Omalur,5270,Omalur,Approved
61600,Panankattur ,5270,Omalur,Unapproved
49572,Pethanaickanpalayam,5271,Pethanaickanpalayam,Approved
49573,Salem,5272,Salem,Approved
49574,Salem South,5273,Salem South,Approved
49575,Salem West,5274,Salem West,Approved
49576,Sankari,5275,Sankari,Approved
49577,Thalaivasal,5276,Thalaivasal,Approved
49578,Vazhapadi,5277,Vazhapadi,Approved
49579,Yercaud,5278,Yercaud,Approved
49580,Devakottai,5279,Devakottai,Approved
49581,Ilayangudi,5280,Ilayangudi,Approved
49582,Kalaiyarkoil,5281,Kalaiyarkoil,Approved
49583,Karaikkudi,5282,Karaikkudi,Approved
49584,Manamadurai,5283,Manamadurai,Approved
49585,Singampunari,5284,Singampunari,Approved
49586,Sivaganga,5285,Sivaganga,Approved
49587,Thiruppathur,5286,Thiruppathur,Approved
49588,Thiruppuvanam,5287,Thiruppuvanam,Approved
49589,Alangulam,5288,Alangulam,Approved
49590,Kadayanallur,5289,Kadayanallur,Approved
49591,Sankarankoil,5290,Sankarankoil,Approved
49592,Shenkottai,5291,Shenkottai,Approved
49593,Sivagiri,5292,Sivagiri,Approved
49594,Tenkasi,5293,Tenkasi,Approved
49595,Tiruvengadam,5294,Tiruvengadam,Approved
49596,Veerakeralamputhur,5295,Veerakeralamputhur,Approved
49597,Budalur,5296,Budalur,Approved
49598,Kumbakonam,5297,Kumbakonam,Approved
49599,Orathanadu,5298,Orathanadu,Approved
49600,Papanasam,5299,Papanasam,Approved
49601,Pattukkottai,5300,Pattukkottai,Approved
49602,Peravurani,5301,Peravurani,Approved
49603,Thanjavur,5302,Thanjavur,Approved
49604,Thiruvaiyaru,5303,Thiruvaiyaru,Approved
49605,Thiruvidaimarudur,5304,Thiruvidaimarudur,Approved
49606,Thiruvonam,5305,Thiruvonam,Approved
49607,Andipatti,5306,Andipatti,Approved
49608,Bodinayakanur,5307,Bodinayakanur,Approved
49609,Periyakulam,5308,Periyakulam,Approved
49610,Theni,5309,Theni,Approved
49611,Uthamapalayam,5310,Uthamapalayam,Approved
49612,Coonoor,5311,Coonoor,Approved
49613,Gudalur,5312,Gudalur,Approved
49614,Kotagiri,5313,Kotagiri,Approved
49615,Kundah,5314,Kundah,Approved
49616,Panthalur,5315,Panthalur,Approved
49617,Udhagamandalam,5316,Udhagamandalam,Approved
49618,Avadi,5317,Avadi,Approved
49619,Gummidipoondi,5318,Gummidipoondi,Approved
49620,Pallipattu,5319,Pallipattu,Approved
49621,Ponneri,5320,Ponneri,Approved
49622,Poonamallee,5321,Poonamallee,Approved
49623,R K Pet,5322,R K Pet,Approved
49624,Thiruvallur,5323,Thiruvallur,Approved
49625,Tiruttani,5324,Tiruttani,Approved
49626,Uthukkottai,5325,Uthukkottai,Approved
49627,Koothanallur,5326,Koothanallur,Approved
49628,Kudavasal,5327,Kudavasal,Approved
49629,Mannargudi,5328,Mannargudi,Approved
49630,Nannilam,5329,Nannilam,Approved
49631,Needamangalam,5330,Needamangalam,Approved
49632,Thiruthuraipoondi,5331,Thiruthuraipoondi,Approved
49633,Thiruvarur,5332,Thiruvarur,Approved
49634,Valangaiman,5333,Valangaiman,Approved
49635,Eral,5334,Eral,Approved
49636,Ettayapuram,5335,Ettayapuram,Approved
49637,Kayathar,5336,Kayathar,Approved
49638,Kovilpatti,5337,Kovilpatti,Approved
49639,Ottapidaram,5338,Ottapidaram,Approved
49640,Sathankulam,5339,Sathankulam,Approved
49641,Srivaikuntam,5340,Srivaikuntam,Approved
49642,Thoothukkudi,5341,Thoothukkudi,Approved
49643,Tiruchendur,5342,Tiruchendur,Approved
49644,Vilathikulam,5343,Vilathikulam,Approved
49645,Lalgudi,5344,Lalgudi,Approved
49646,Manachanallur,5345,Manachanallur,Approved
49647,Manapparai,5346,Manapparai,Approved
49648,Marungapuri,5347,Marungapuri,Approved
49649,Musiri,5348,Musiri,Approved
49650,Srirangam,5349,Srirangam,Approved
49651,Thiruverumbur,5350,Thiruverumbur,Approved
