MarketplaceId,MarketplaceName,TehsilId,TehsilName,MarketplaceStatus
1968,Ramtek,16,Akot,Approved
1969,Raundala,16,Akot,Approved
1970,Rel,16,Akot,Approved
1971,Rohankhed,16,Akot,Approved
1972,Rudhadi Pr. Chinchona,16,Akot,Approved
1973,Rudhadi Pr. Khatkali,16,Akot,Approved
1974,Ruikhed,16,Akot,Approved
1975,Salkhed,16,Akot,Approved
1976,Sarfabad,16,Akot,Approved
1977,Sawara,16,Akot,Approved
1978,Sawargaon,16,Akot,Approved
1979,Sawarkhed,16,Akot,Approved
1980,Shahanur,16,Akot,Approved
1981,Shahapur,16,Akot,Approved
1982,Shahapur Pr. Akot,16,Akot,Approved
1983,Shahapur Pr. Karla,16,Akot,Approved
1984,Shahapur Pr.Rupagad,16,Akot,Approved
1985,Somthana Budruk,16,Akot,Approved
1986,Sonbardi,16,Akot,Approved
1987,Sukali,16,Akot,Approved
1988,Sultanpur,16,Akot,Approved
1989,Tajnapur,16,Akot,Approved
1990,Takali Budruk,16,Akot,Approved
1991,Takali Kh.,16,Akot,Approved
1992,Tandulwadi,16,Akot,Approved
1993,Taroda,16,Akot,Approved
1994,Thokbardi,16,Akot,Approved
1995,Umara,16,Akot,Approved
1996,Vitali,16,Akot,Approved
1997,Wadali Deshmukh,16,Akot,Approved
1998,Wadali Satwai,16,Akot,Approved
1999,Wadgaon Mendhe,16,Akot,Approved
2000,Waghoda,16,Akot,Approved
2001,Wai,16,Akot,Approved
2002,Wani,16,Akot,Approved
2003,Warula,16,Akot,Approved
2004,Warur,16,Akot,Approved
2005,Wasali Nagapur,16,Akot,Approved
2006,Adoshi,17,Balapur,Approved
2007,Andura Bhag 1,17,Balapur,Approved
2008,Antri Malkapur,17,Balapur,Approved
2009,Babhulkhed,17,Balapur,Approved
2010,Bahadura,17,Balapur,Approved
2011,Balapur,17,Balapur,Approved
2012,Balhali,17,Balapur,Approved
2013,Barlinga,17,Balapur,Approved
2014,Batwadi Bk.,17,Balapur,Approved
2015,Batwadi Kh.,17,Balapur,Approved
2016,Bharatpur,17,Balapur,Approved
2017,Bhikundkhed,17,Balapur,Approved
2018,Bhortek,17,Balapur,Approved
2019,Borala,17,Balapur,Approved
2020,Borgaon Vairale,17,Balapur,Approved
2021,Borwakadi,17,Balapur,Approved
2022,Chincholi Ganu,17,Balapur,Approved
2023,Dadham Bk.,17,Balapur,Approved
2024,Dagadkhed,17,Balapur,Approved
2025,Dawalpur,17,Balapur,Approved
2026,Degaon,17,Balapur,Approved
2027,Dhadi,17,Balapur,Approved
2028,Dhanegaon,17,Balapur,Approved
2029,Dhanora,17,Balapur,Approved
2030,Dongargaon,17,Balapur,Approved
2031,Gademod,17,Balapur,Approved
2032,Gajipur,17,Balapur,Approved
2033,Gaygaon 1,17,Balapur,Approved
2034,Hasnapur,17,Balapur,Approved
2035,Hata 1,17,Balapur,Approved
2036,Hatrun,17,Balapur,Approved
2037,Hingana Adsul,17,Balapur,Approved
2038,Hingana Nimba,17,Balapur,Approved
2039,Hingana Shelad,17,Balapur,Approved
2040,Hingana Shikari,17,Balapur,Approved
2041,Janorimael,17,Balapur,Approved
2042,Jogalkhed,17,Balapur,Approved
2043,Kadoshi,17,Balapur,Approved
2044,Kajikhed,17,Balapur,Approved
2045,Kalamba Budruk,17,Balapur,Approved
2046,Kalamba Khurd,17,Balapur,Approved
2047,Kalambi Mahagaon,17,Balapur,Approved
2048,Kalbai,17,Balapur,Approved
2049,Kanheri (Sarap),17,Balapur,Approved
2050,Karanja Ramjanpur,17,Balapur,Approved
2051,Kasarkhed,17,Balapur,Approved
2052,Kastkhed,17,Balapur,Approved
2053,Kasura,17,Balapur,Approved
2054,Kawatha,17,Balapur,Approved
2055,Khamkhed,17,Balapur,Approved
2056,Khandala,17,Balapur,Approved
2057,Kharbi,17,Balapur,Approved
2058,Khirpuri Bk.,17,Balapur,Approved
2059,Khirpuri Kh.,17,Balapur,Approved
2060,Kolasa,17,Balapur,Approved
2061,Kumbhari,17,Balapur,Approved
2062,Kupata,17,Balapur,Approved
2063,Lohara 1,17,Balapur,Approved
2064,Malkhed,17,Balapur,Approved
2065,Malwada,17,Balapur,Approved
2066,Manaki,17,Balapur,Approved
2067,Manali,17,Balapur,Approved
2068,Manarkhed,17,Balapur,Approved
2069,Mandawa Bk.,17,Balapur,Approved
2070,Mandawa Kh.,17,Balapur,Approved
2071,Mandoli,17,Balapur,Approved
2072,Manjari,17,Balapur,Approved
2073,Modhapur,17,Balapur,Approved
2074,Mokha,17,Balapur,Approved
2075,Morgaon Sadijan,17,Balapur,Approved
2076,Morzadi,17,Balapur,Approved
2077,Nagad,17,Balapur,Approved
2078,Nakashi,17,Balapur,Approved
2079,Nandkhed,17,Balapur,Approved
2080,Naya Andura,17,Balapur,Approved
2081,Nimba,17,Balapur,Approved
2082,Nimbi,17,Balapur,Approved
2083,Nimkarda,17,Balapur,Approved
2084,Onkarkhed,17,Balapur,Approved
2085,Paras 1,17,Balapur,Approved
2086,Pimpalgaon,17,Balapur,Approved
2087,Ridhora,17,Balapur,Approved
2088,Sagad,17,Balapur,Approved
2089,Sangwi Jomdeo,17,Balapur,Approved
2090,Satargaon,17,Balapur,Approved
2091,Sawarpati,17,Balapur,Approved
2092,Shelad,17,Balapur,Approved
2093,Shingoli,17,Balapur,Approved
2094,Sonala,17,Balapur,Approved
2095,Songiri,17,Balapur,Approved
2096,Swarupkhed,17,Balapur,Approved
2097,Takali Gademod,17,Balapur,Approved
2098,Takali Khojbad,17,Balapur,Approved
2099,Takali Kureshi,17,Balapur,Approved
2100,Takali Nimkarda 1,17,Balapur,Approved
2101,Tamshi,17,Balapur,Approved
2102,Tandali Tarfe Tulanga,17,Balapur,Approved
2103,Ural Bk.,17,Balapur,Approved
2104,Ural Kh.,17,Balapur,Approved
2105,Vyala 1,17,Balapur,Approved
2106,Wadegaon 1,17,Balapur,Approved
2107,Wazegaon,17,Balapur,Approved
2108,Zural Bk.,17,Balapur,Approved
2109,Zural Kh.,17,Balapur,Approved
61605,main road wadegaon ,17,Balapur,Unapproved
61712,Barshitakali,18,Barshitakli,Unapproved
2110,Ajani Budruk,18,Barshitakli,Approved
2111,Ajani Khurd,18,Barshitakli,Approved
2112,Ajani Mahala,18,Barshitakli,Approved
2113,Alanda,18,Barshitakli,Approved
2114,Asartek,18,Barshitakli,Approved
2115,Ashkaripur,18,Barshitakli,Approved
2116,Ashrafpur,18,Barshitakli,Approved
2117,Atkali Dhaba Mandal,18,Barshitakli,Approved
2118,Atkali Kherda Mandal,18,Barshitakli,Approved
2119,Bagayat Barshitakli,18,Barshitakli,Approved
2120,Bahirkhed,18,Barshitakli,Approved
2121,Bakharapur,18,Barshitakli,Approved
2122,Barshitakali 1,18,Barshitakli,Approved
2123,Barshitakli,18,Barshitakli,Approved
2124,Belkhed,18,Barshitakli,Approved
2125,Bhambora,18,Barshitakli,Approved
2126,Bharatpur,18,Barshitakli,Approved
2127,Bhedikaji,18,Barshitakli,Approved
2128,Bhendgaon,18,Barshitakli,Approved
2129,Bhendi Sutrak,18,Barshitakli,Approved
2130,Bhendimahal,18,Barshitakli,Approved
2131,Bormali,18,Barshitakli,Approved
2132,Bramhandari,18,Barshitakli,Approved
2133,Chelaka,18,Barshitakli,Approved
2134,Chinchkhed,18,Barshitakli,Approved
2135,Chinchkhed Bk.,18,Barshitakli,Approved
2136,Chincholi Devdari,18,Barshitakli,Approved
2137,Chincholi Rudrayani,18,Barshitakli,Approved
2138,Chohogaav,18,Barshitakli,Approved
2139,Dagadparwa,18,Barshitakli,Approved
2140,Dauchaka,18,Barshitakli,Approved
2141,Devdari,18,Barshitakli,Approved
2142,Dhaba,18,Barshitakli,Approved
2143,Dhakali,18,Barshitakli,Approved
2144,Dhamandari,18,Barshitakli,Approved
2145,Dhanora,18,Barshitakli,Approved
2146,Dharagiri,18,Barshitakli,Approved
2147,Dhotarkhed,18,Barshitakli,Approved
2148,Donad Budruk,18,Barshitakli,Approved
2149,Donad Khurd,18,Barshitakli,Approved
2150,Fetra,18,Barshitakli,Approved
2151,Ghota,18,Barshitakli,Approved
2152,Gorwha,18,Barshitakli,Approved
2153,Haldoli,18,Barshitakli,Approved
2154,Hatola,18,Barshitakli,Approved
2155,Hirkani,18,Barshitakli,Approved
2156,Isapur,18,Barshitakli,Approved
2157,Jaanuna,18,Barshitakli,Approved
2158,Jalalabad,18,Barshitakli,Approved
2159,Jam Vasu,18,Barshitakli,Approved
2160,Jambharun,18,Barshitakli,Approved
2161,Jamkeshwar,18,Barshitakli,Approved
2162,Januna,18,Barshitakli,Approved
2163,Jogalkhed,18,Barshitakli,Approved
2164,Kajaleshwar,18,Barshitakli,Approved
2165,Kanheri Sarap,18,Barshitakli,Approved
2166,Kardu,18,Barshitakli,Approved
2167,Kasarkhed,18,Barshitakli,Approved
2168,Kasmar,18,Barshitakli,Approved
2169,Katkheda,18,Barshitakli,Approved
2170,Khadaki,18,Barshitakli,Approved
2171,Khambora,18,Barshitakli,Approved
2172,Kherda Budruk,18,Barshitakli,Approved
2173,Kherda Kh.,18,Barshitakli,Approved
2174,Khopadi,18,Barshitakli,Approved
2175,Khori Khudavantpur,18,Barshitakli,Approved
2176,Kinkhed,18,Barshitakli,Approved
2177,Kothali Bk.,18,Barshitakli,Approved
2178,Kothali Kh.,18,Barshitakli,Approved
2179,Lakhamapur,18,Barshitakli,Approved
2180,Lohgad,18,Barshitakli,Approved
2181,Lohgad Tanda,18,Barshitakli,Approved
2182,Mahagaon Dhaba Mandal,18,Barshitakli,Approved
2183,Mahagaon Mahan Mandal,18,Barshitakli,Approved
2184,Mahan,18,Barshitakli,Approved
2185,Mandoli,18,Barshitakli,Approved
2186,Mangrul,18,Barshitakli,Approved
2187,Manmatkhed,18,Barshitakli,Approved
2188,Mirzapur,18,Barshitakli,Approved
2189,Morgaon Kakad,18,Barshitakli,Approved
2190,Morhal,18,Barshitakli,Approved
2191,Mozari Budruk,18,Barshitakli,Approved
2192,Mozari Khurd,18,Barshitakli,Approved
2193,Mungsaji Nagar,18,Barshitakli,Approved
2194,Nasirabad,18,Barshitakli,Approved
2195,Nihida,18,Barshitakli,Approved
2196,Nimbhora,18,Barshitakli,Approved
2197,Nimbi,18,Barshitakli,Approved
2198,Nimbi Budruk,18,Barshitakli,Approved
2199,Nimbi Khurd,18,Barshitakli,Approved
2200,Padmin,18,Barshitakli,Approved
2201,Parabhawani,18,Barshitakli,Approved
2202,Paranda,18,Barshitakli,Approved
2203,Pardi,18,Barshitakli,Approved
2204,Patkhed,18,Barshitakli,Approved
2205,Pimpalgaon Chambhare,18,Barshitakli,Approved
2206,Pimpalgaon Hande,18,Barshitakli,Approved
2207,Pimpalkhuta,18,Barshitakli,Approved
2208,Pimpalshenda,18,Barshitakli,Approved
2209,Pinjar 1,18,Barshitakli,Approved
2210,Punoti Bk.,18,Barshitakli,Approved
2211,Punoti Kh.,18,Barshitakli,Approved
2212,Rahit,18,Barshitakli,Approved
2213,Rajanda 1,18,Barshitakli,Approved
2214,Rajankhed,18,Barshitakli,Approved
2215,Rajankhed Tanda,18,Barshitakli,Approved
2216,Ramgaon,18,Barshitakli,Approved
2217,Redwa,18,Barshitakli,Approved
2218,Rustamabad,18,Barshitakli,Approved
2219,Sadalapur,18,Barshitakli,Approved
2220,Safepur,18,Barshitakli,Approved
2221,Sahit,18,Barshitakli,Approved
2222,Sakani,18,Barshitakli,Approved
2223,Sakharvira,18,Barshitakli,Approved
2224,Salpi,18,Barshitakli,Approved
2225,Sarav,18,Barshitakli,Approved
2226,Sarkinhi,18,Barshitakli,Approved
2227,Satali,18,Barshitakli,Approved
2228,Sawarkhed,18,Barshitakli,Approved
2229,Saykhed,18,Barshitakli,Approved
2230,Sayyadpur,18,Barshitakli,Approved
2231,Sevanagar,18,Barshitakli,Approved
2232,Shahapur,18,Barshitakli,Approved
2233,Shelapur,18,Barshitakli,Approved
2234,Shelgaon,18,Barshitakli,Approved
2235,Shelu Budruk,18,Barshitakli,Approved
2236,Shelu Khurd,18,Barshitakli,Approved
2237,Shindkhed,18,Barshitakli,Approved
2238,Shiwapur,18,Barshitakli,Approved
2239,Songiri,18,Barshitakli,Approved
2240,Sukli,18,Barshitakli,Approved
2241,Sultanpur,18,Barshitakli,Approved
2242,Takali Chhabile,18,Barshitakli,Approved
2243,Takarkhed,18,Barshitakli,Approved
2244,Tamsi,18,Barshitakli,Approved
2245,Tawakalpur,18,Barshitakli,Approved
2246,Tembhi,18,Barshitakli,Approved
2247,Titawa,18,Barshitakli,Approved
2248,Titawan,18,Barshitakli,Approved
2249,Tiwasa Budruk,18,Barshitakli,Approved
2250,Tiwasa Khurd,18,Barshitakli,Approved
2251,Ujaleshwar,18,Barshitakli,Approved
2252,Umardari,18,Barshitakli,Approved
2253,Vadgaon,18,Barshitakli,Approved
2254,Vaghjali,18,Barshitakli,Approved
2255,Vastapur,18,Barshitakli,Approved
2256,Vizora,18,Barshitakli,Approved
2257,Wadala,18,Barshitakli,Approved
2258,Wadalaa,18,Barshitakli,Approved
2259,Wagha Budruk,18,Barshitakli,Approved
2260,Wagha Khurd,18,Barshitakli,Approved
2261,Wai,18,Barshitakli,Approved
2262,Walpi,18,Barshitakli,Approved
2263,Wankhedpur,18,Barshitakli,Approved
2264,Warkhed,18,Barshitakli,Approved
2265,Warkhed (Wagh),18,Barshitakli,Approved
2266,Warkhed Budruk,18,Barshitakli,Approved
2267,Warkhed Khurd,18,Barshitakli,Approved
2268,Yawalkhed,18,Barshitakli,Approved
2269,Yeranda,18,Barshitakli,Approved
2270,Zodga,18,Barshitakli,Approved
2271,Akoli Jahangir,19,Murtijapur,Approved
2272,Aladatpur,19,Murtijapur,Approved
2273,Allapur,19,Murtijapur,Approved
2274,Amatwada,19,Murtijapur,Approved
2275,Anbhora,19,Murtijapur,Approved
2276,Arkhed,19,Murtijapur,Approved
2277,Atkali.,19,Murtijapur,Approved
2278,Aurangpur,19,Murtijapur,Approved
2279,Bahadarpur,19,Murtijapur,Approved
2280,Balapur,19,Murtijapur,Approved
2281,Ballarkhed,19,Murtijapur,Approved
2282,Bapori,19,Murtijapur,Approved
2283,Bhagora,19,Murtijapur,Approved
2284,Bhatori,19,Murtijapur,Approved
2285,Bidgaon,19,Murtijapur,Approved
2286,Borgaon,19,Murtijapur,Approved
2287,Borta,19,Murtijapur,Approved
2288,Bramhi (Bai),19,Murtijapur,Approved
2289,Bramhi Budruk,19,Murtijapur,Approved
2290,Bramhi Khurd,19,Murtijapur,Approved
2291,Chikhali,19,Murtijapur,Approved
